tweet,location
"POLL 40% of Blacks Line Up Behind #Trumpâ€“ 45% of #Hispanics
https://t.co/y9wWJpR98m

#BlackLivesMatter #LatinosForTrump #Election2016 #tcot","Fairfield, CA"
Stop water privatisation #FeelTheBern  #Right2Water,"Dublin City, Ireland"
And those with two working brain cells (not you @realDonaldTrump or your supporters)-read this https://t.co/kMplgs0hT5,"Georgia, USA"
"RT @AnnCoulter: Republican voters also not that into Republicans.  They wanted a wall, deportation &amp; a break from all immigration. https://â€¦","Bozeman, MT"
We'll abolish the IRS w/ a Simple Flat Tax!!!! https://t.co/ah6qYSbW6q #PJNET Join us: https://t.co/MeyX4TacSh. https://t.co/iJLlNxMlLE,"Florida, USA"
@PastorJohnHagee is probably voting for @realDonaldTrump,"Nairobi, Kenya"
@SenatorLeahy @SenateMajLdr @realDonaldTrump @CarlyFiorina Christian politicians permitting nonvio elderly to be destine for a prison death,"Palm Beach, FL"
RT @cooleyrj: Donald Trump -- Conservative Movement Shouldn't Support Him https://t.co/i5pUcKB0nr,"St Helens, Tassie"
"RT @DrMartyFox: #Cruz - #Trump #Patriots 
After The Primaries 

We Must Unite To Defeat A #Candidate 

Who Will Take Down #America https://â€¦","Wisconsin, USA"
"Top Pentagon Commanders: ""Weâ€™ll Quit If Trump Becomes Commander-In-Chief"" https://t.co/RmBeJxQxOo","Montville, NJ 07045"
"@ForPatriots @BernieSanders was bank off the liberals emotions.  Tell them a bunch of b/s that will never happen like free college etc, tell","St Louis, MO"
@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM .@NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ â€¦,"Maryland, USA"
@NRO Trump 2016 MAGA,"Alabama, USA"
"#WeAreBernie, because we are not dicks that only knows how to hate. We're human beings with a brain and common sense.
#MakeAmericaGreatAgain","Singapore, British Columbia"
when are the republican primaries,"Canoga Park, CA"
@JonahNRO this is the trump phenom explained: https://t.co/9ujzUhOwkx,"Jacksonville Beach, Florida"
@jim_slip @mmjblair @realDonaldTrump I actually did like his comments on getting money out of politics....can't think of much else tho,"Horndon-on-the-Hill, England"
LOVE IT! CONFLICT OF INTEREST? NO! NOT @marklevinshow HE SAID HE WILL SUPPORT TRUMP! https://t.co/JXpTIIZfQP,"Dallas, Texas"
@davidalukas @yaauie @reedseattle @lisariendeau I don't think Donald Trump would be so bad,"Seattle, WA"
Establishment Trump's Dirty Little Secret: No Policy Talk as Trump Supports Amnesty https://t.co/4y2uTl0Zux #Trending,"portland, oregon"
"@TheJerkMarvin If I have to vote for her over Trump, of course. I'm not crazy. But the party should strive left and expect more.","Chicago, IL"
Anyone know how many people attended?   https://t.co/j0JDdqgxFz,"Stand Up or Shut Up, USA"
"@JebBush @NRO @realDonaldTrump 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
"Ooops, Ted Cruz Finds Out He Has Health Insurance After All

https://t.co/m3glVpXvYR https://t.co/3DGq575heP","Omaha, NE"
"Agreed.Terrible move, extended by Bush. It is sexist to blame Hillary for Bill. Overall record? Bernie supported B&amp;H https://t.co/cd5oqtEDwY","Woodstock, NY"
Getting Big Money Out of Politics and Restoring Democracy. #feelthebern #Bernie2016 https://t.co/i8XZ8rl6x4,"DFW Metroplex, Texas"
.@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM @NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ â€¦ â€¦,"Maryland, USA"
"@realDonaldTrump @jamifloyd @JudgeJeanine @MJuricaWFTV I am tired of the hype about this ""blizzard"". Check out Blizzard of 77, it was bad.","Orlando, Florida"
@realDonaldTrump @NRO why don't u all stop trash talking each other and discuss real issues,"Stone Mountain, Georgia"
RT @KLSouth: 2015 #Democrat platform: 1. Appeal to Greed  2. Incite to Envy  3. Conjure Fear 4. Promote Godless society 5. Inflame racism 6â€¦,"Branford, CT"
RT @adamzyglis: Birdbrained #Palin #Trump #hairnest @TheBuffaloNews https://t.co/D4WUjBMEGe https://t.co/wsfXJGQaHd,"Covntri, Ã‘gá¸·nd"
"Reuters
Poll: Trump in lead at 40.6 percent
https://t.co/oMmC2xRQMh","Î‘Ï„Ï„Î¹ÎºÎ®, Î•Î»Î»Î¬Ï‚"
RT @DougIbendahl: National Review just handed Donald Trump the Election https://t.co/yBPoKDBZJn Don't let the #Gangof22 tell you what to doâ€¦,"Miami, FL"
Don't want Trump? might as well vote for Hillary! He's the only one who can beat her! WAKE THE FUCK UP!,"Houston, TX"
"RT @ParkerMolloy: Trump is now retweeting white supremacist twitter accounts. Okay, then. https://t.co/bLryXSfBcF","Nevada, USA"
RT @HistoricalPics: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/qKO73bP0rI,"Kuala Lumpur, Malaysia."
"RT @AnnCoulter: Republican voters also not that into Republicans.  They wanted a wall, deportation &amp; a break from all immigration. https://â€¦","Ohio, USA"
"RT @EricWolfson: ""I thought Palin's Trump endorsement was brilliant!""
#MakeMeFeelAwkwardIn7Words

#p2 https://t.co/6GRkoO3r9m","Tampa, FL"
"RT @espiekermann: Cannot stand that Trump uses my #FFMeta @FontShop: (only in the background, but still) He only deserves Arial https://t.câ€¦","Amstelveen, the Netherlands"
"RT @RushCity4Bernie: #Hillary angers fans who waited hours for 5 minute speech. One attendee said she didn't say enough to earn her vote
htâ€¦","Milford, MA"
"RT @YRNFSouthern: There is no such thing as the ""Republican Establishment"" https://t.co/i1004osYtK","Ft. Lauderdale, FL USA"
RT @court_gette: Pour ou contre Donald Trump,"Rennes, Bretagne"
How I Became a Donald Trump Fan for Exactly 2 Hours https://t.co/XO7peukI1e via @Esquire,"Doha, Qatar"
How I Became a Donald Trump Fan for Exactly 2 Hours https://t.co/JDG1bwIelR via @Esquire,"Doha, Qatar"
Chingy a coon too. Like all them other niggas.  https://t.co/QfUGm5LDQV,"Muddy Jungle, OH"
@StephenNolan  funny how a brit shoots a Catholic we need an inquiry a Republican shoots a Catholic and some see it as justice. #its2016 ffs,"Belfast, Northern Ireland"
RT @DanScavino: Amazing endorsement for @TedCruz w/ Glenn Beck! A guy who uses photo-shopped materials to attack @realDonaldTrump &amp; gets caâ€¦,"Pennsylvania, USA"
"@ForPatriots @BernieSanders them it's ""their campaign"", and they are gonna continue sending money.  It was the perfect scam","St Louis, MO"
@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM @NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ â€¦,"Maryland, USA"
RT @VWAudiPorsche: I've already quit listening to @marklevinshow &amp; @RedEyeRadioNet Because they have orders to attackTrump. Trump2016ðŸ‡ºðŸ‡¸ httâ€¦,"New York, NY"
Omgosh. This is now coming here. Thanks #Obama. #ImpeachObama NOW!!! Before his exec. orders finish us off. #Trump https://t.co/RsbEO2nnvk,"North Carolina, USA"
"RT @tgradous: Canâ€™t Decide Between Trump and Cruz? Read This.
@pjamesjp1 @Doodisgirl @SMolloyDVM @JMontanaPOTL @DrottM @LVNancy  https://t.â€¦","Jacksonville, FL"
Climate-denier @realdonaldtrump is no threat to the billionaires because he is one himself.  https://t.co/P024tlJxOc,"Howard County, Maryland"
@cruzgrassroots @MarkAlmost not Senators Cruz or Rubio I stay home. Got it? Good now get rid of democrat Donnie.,"Mississippi, USA"
"@realDonaldTrump 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
RT @pourmecoffee: President Trump will build a beautiful dome to keep the snow out of DC and make Virginia pay for it.,"sheboygan, wi"
RT @PatriotMash: Former CIA double agent says Hillary Clinton was 'playing Russian roulette' with the lives of American spies (Video) httpsâ€¦,"Jacksonville, Florida"
"â€œMy dream would be if Ted Cruz became president tonight. I really admire Ted Cruz, on many levels."" -Nugent https://t.co/pyQ5XJN02w","Newburyport, MA"
Long-Time Leaders of Conservative Movement Unite in Support of Ted Cruz https://t.co/6U04sFv1Do,"Miami, United States"
RT @NateSilver538: Thoughts on the state of the GOP race -- and why I've become a lot less skeptical of Trump's chances: https://t.co/apm5uâ€¦,"Barcelona, CataluÃ±a"
"RT @FT: Trump, America and how to get over the loss of an empire - by @KuperSimon 
https://t.co/cnQacpiNFV https://t.co/a8UFOvSEXI","Abuja, New York, Awka"
RT @bernieforbernie: @NASA @bcfontt That is actually a view of @BernieSanders spreading his message #WeAreBernie #blizzard2016 #SuperBern hâ€¦,"El Paso, TX"
"Come on #TRUMPTRAIN #trumpateers #MakeAmericaGreatAgain 
VOTE
We can't let Commie Bernie be in lead...LOL https://t.co/8BdH9fH4Fg","Fort Smith, AR"
RT @crazylary51: #WeAreBernie LOVE WHEN THESE REPUBLICAN FAKE  BERNIE BOTS  COME OUT THEY ARE SO EASY TO BLOCK!! YOU! CAN TELL THE FAKES!!,"Arkansas, USA"
Trump supporters: Exactly what does your candidate truly believe? https://t.co/LWq7ymyt7A,"Frederick, MD"
RT @VICE: Hillary Clinton has a Killer Mike problem https://t.co/tb6Oqs7bYB,"Melbourne, Australia"
"RT @FiveRights: Trump threatened no one, hates no one, chastised by Brits for hate.
Muslims, openly hating, get police protection. https://â€¦","Saint Louis, Missouri"
"RT @NateSilver538: GOP lobbyists want Trump to win nomination because they think he'll lose general election?
https://t.co/gwSbzDF0Me httpsâ€¦","Barcelona, CataluÃ±a"
"RT @AceofSpadesHQ: All I can say, when you tell me that Trump is not conservative and a demagogic liar, is: Oh, so he'll fit right in, huh?","Ithaca, NY"
"RT @BreitbartLondon: Muslim MP Invited Trump To Visit Bradford, Where Muslims Beat Christian Converts https://t.co/5HO6BnHqHX https://t.co/â€¦","UK, Christendom"
"RT @ninamills: Hillary Clinton: Supreme Court rulings threaten our democracy
https://t.co/kEq0klkSna #UniteBlue  #USLatino","Irving, Texas"
"RT @rupert_franklin: ""West, Kanye, Conservative - 1754 votes""
""Mau5, Dead, Labour - 6,257 votes""
""Z, Jay, Liberal Democrat... http://t.co/0â€¦","Putney, London"
Editor of Honolulu newspaper tells Donald Trump to stop using its photos https://t.co/60irF0xfM8,"New York, NY"
Michelle Obama: We Must Teach Young Blacks To Always Vote Democrat â€˜No Matter Whoâ€™s On The Ballotâ€™ https://t.co/TRleA8XKY3,"Caldwell, Texas USA"
"@tedcruz 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
"Concerned @berniesanders is attracting anti-establishment #BlackLivesMatter @cornelwest, not power brokers that get out #vote. @CharlesMBlow","Brookland, DC"
RT @TracyJeffords: .@JudgeJeanine maybe you should disclose Trump is lining your pockets while you tell us all to get in line #Sellout httpâ€¦,"Sweet Home, AR"
RT @ninamills: Jane Fonda Organizing 'Dump Trump' Campaign https://t.co/9hk6QCHSHJ #Newsmax via @Newsmax_Media #UniteBlue #USLatino,"Irving, Texas"
@HillaryClinton how did you make a mistake after gathering information through illegal channels for so long? I put it to you you exterminate,"Bolton-le-Sands, England"
"RT @Plantflowes: #WeAreBernie And, now we are going to troll and criticize Elizabeth Warren, Cus that is how Berners roll https://t.co/g4HUâ€¦","Arkansas, USA"
"TRUMP SNOW Sat, 23 Jan 2016 06:00:00 CST","Champaign-Urbana, IL"
RT @David360NC: Krauthammer: If Just One More Establishment Figure Endorses Trump It Could Make Him Inevitable Nominee | Video |  https://tâ€¦,"Fort Smith, AR"
"#nowplaying on https://t.co/aSZlk0mBNd:
@RaeSremmurd - Up Like Trump
ðŸ”¥ðŸ’€ðŸ”¥","Los Angeles, CA"
"RT @NHPOTFARM: I see #BernieSanders 
Where's #HillaryClinton 
#WeAreBernie https://t.co/fIQG1UepZ2","Nashville, TN"
RT @Maggyw519: @eclecticbrotha @goddamnedfrank Bern has Cornel West the GOP has Allan West ..same purpose,"denver, co"
"RT @ECentauri: REUTERS POLL: #Trump SUPPORT JUMPS TO 40 PERCENT https://t.co/JWJvPOta4p
#Trump2016 #TrumpTrain","Fort Smith, AR"
How hideous that @HillaryClinton has fought for empowering women (!&amp; men!) AND FAMILY in the US and abroad her whole life #WeAreBernie,"Kool-Aid Wino, RB"
"RT @HaloOneForTrump: I predicted this 2 weeks ago, knew when @tedcruz's every other sentence was scripture #Evangelicals R U buying this? hâ€¦","New York, NY"
RadioAnswer: I was going to write something on why Trumpâ€¦ https://t.co/B8TjYy5lE0 #Elections #FrontPageStories #tâ€¦ https://t.co/TkW1GCCmSO,"Atlanta, GA"
"Ted Cruz Slams Bob Dole, Donald Trump As Crony Establishment.. Related Articles: https://t.co/D1IKXsii9A","San Diego, CA"
Rand Paul: I Have Better Hair Than Donald Trump.. Related Articles: https://t.co/jd4k8zKshT,"Dallas, TX"
"RT @tedcruz: ""Ad exposing how Trump has used eminent domain to bulldoze an elderly womanâ€™s home to create a limo parking lot"" https://t.co/â€¦","Ohio, USA"
"RT @ProtestPics: The ""I'm not voting for Donald Trump"" starter pack https://t.co/ybhQR0vUEr","Toulouse, Midi-PyrÃ©nÃ©es"
"RT @GarzaVillanueva: #USlatino
10 days until #Iowa! Our latest polls-plus forecast gives Cruz a 52% chance of winning:
#Trump2016
#p2p16 
hâ€¦","Irving, Texas"
Apparently this is what #Trump has done to #Cruz as the #IowaCaucus approaches https://t.co/gVB05WoWzS,"Lawton, OK"
RT @LynsieLee: Trump fans are okay with having a president that has declared bankruptcy 4 times run our system? interesting.,"37.328871,-121.891731"
@Hillary2016Pres @WeNeedHillary @HillaryClinton #WeAreBernie nice to see Hill move to the left - She's #FeelinTheBern,"Arizona, USA"
A Trump reality check in New Hampshire https://t.co/AiIZamhBHy,"Washington, Texas"
Much of this is established truth. Some opinion. Her personality is known. Should this harridan be President?  https://t.co/BzO0BHxwNo,"Kennesaw, GA"
New post (BUHARI REPLIES TRUMP â€“ â€œI WILL REPATRIATE EVERY SINGLE AMERICAN IN NIGERIA) has been published on... https://t.co/CwYgPr9QvN,"Blantyre, Malawi"
"RT @PaulieSilversmi: I am finding that many Ted Cruz supporters are actually nastier on Twitter than Democrats, liberals, leftists and the â€¦","New York, NY"
"@SenatorLeahy @SenateMajLdr @realDonaldTrump @SpeakerRyan @RepGoodlatte McConnell why waste time on ""show"" votes when prison reform waits ?","Palm Beach, FL"
@AnnCoulter @sahilkapur @NRO The self pro claimed leaders of Republican Party are no better than the democrats. People fed up!,"DeRidder, La"
@Shooters_Wife @LeahRBoss  I have been saying this to everyone that I know who has a brain.   I don't care who the GOP has as nominee VOTE R,"Oneonta, NY"
"RT @FiveRights: Trump threatened no one, hates no one, chastised by Brits for hate.
Muslims, openly hating, get police protection. https://â€¦","Jacksonville Beach, Florida"
#Election2016 Get 2 know #Bernie2016 at https://t.co/jrz627JLb7 - #FeelTheBern &amp; show your endorsement #Democrats https://t.co/QBeuFE2ya9,"Burlington, VT"